"Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","X","temp_sd","temp_niche","precip_niche","mean_temp","mean_rh","mean_hsi"
"Auca","Acanalonia servillei",0,0.057,0.015,14.5,"Herbivore","Univoltine","Above Ground",0,1,2.814574114,18.9848057,160.2293058,1.01755102,-1.108163265,1.332244898
"Auca","Alcaeorrhynchus grandis",0,0.057,0.015,20,"Carnivore","Not Univoltine","Above Ground",0,2,2.774406005,20.48452928,454.3019103,1.01755102,-1.108163265,1.332244898
"Auca","Anomala innuba",32,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,3,4.161788855,17.13737114,313.8013591,1.01755102,-1.108163265,1.332244898
"Auca","Blattella asahinai",1,0.057,0.015,14.5,"Herbivore","Not Univoltine","Above Ground",0,4,3.357534769,20.5431857,409.9292686,1.01755102,-1.108163265,1.332244898
"Auca","Callistethus marginatus",226,0.057,0.015,13.5,"Herbivore","Not Univoltine","Below Ground",0,5,3.760432976,18.84381451,329.0840456,1.01755102,-1.108163265,1.332244898
"Auca","Calosoma scrutator",0,0.057,0.015,30,"Carnivore","Univoltine","Above Ground",0,6,3.423135963,16.23572511,312.1091903,1.01755102,-1.108163265,1.332244898
"Auca","Camponotus castaneus",0,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,7,2.703514474,14.8671382,168.1424791,1.01755102,-1.108163265,1.332244898
"Auca","Camponotus floridanus",5,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,8,1.527474265,22.15109106,116.3350662,1.01755102,-1.108163265,1.332244898
"Auca","Chauliodes rastricornis",20,0.057,0.015,35,"Omnivore","Not Univoltine","Freshwater",0,9,5.553216124,12.11113952,225.027367,1.01755102,-1.108163265,1.332244898
"Auca","Climaciella brunnea",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Host Organisms",0,10,5.805910463,10.98058873,329.4529416,1.01755102,-1.108163265,1.332244898
"Auca","Corydalus cornutus",10,0.057,0.015,54,"Omnivore","Univoltine","Freshwater",0,11,3.590081915,12.49320611,209.5000234,1.01755102,-1.108163265,1.332244898
"Auca","Cybister fimbriolatus",16,0.057,0.015,29.5,"Carnivore","Univoltine","Freshwater",0,12,4.367067784,17.27847222,303.0526646,1.01755102,-1.108163265,1.332244898
"Auca","Dichotomius carolinus",4,0.057,0.015,25,"Detrivore","Univoltine","Above Ground",0,13,3.645123451,16.27639116,382.8505775,1.01755102,-1.108163265,1.332244898
"Auca","Dicromantispa interrupta",0,0.057,0.015,22.5,"Omnivore","Not Univoltine","Host Organisms",0,14,4.084355045,18.23094967,290.3583934,1.01755102,-1.108163265,1.332244898
"Auca","Draeculacephala inscripta",7,0.057,0.015,7,"Herbivore","Not Univoltine","Above Ground",0,15,3.615212978,18.33695889,230.7082367,1.01755102,-1.108163265,1.332244898
"Auca","Erythroneura calyculata",0,0.057,0.015,3,"Herbivore","Not Univoltine","Above Ground",0,16,2.647080251,14.60460152,132.5692445,1.01755102,-1.108163265,1.332244898
"Auca","Euphoria sepulcralis",0,0.057,0.015,11.5,"Herbivore","Univoltine","Below Ground",0,17,4.111756347,18.23663889,264.3360603,1.01755102,-1.108163265,1.332244898
"Auca","Graminella cognita",0,0.057,0.015,2.5,"Herbivore","Not Univoltine","Above Ground",0,18,2.412539929,23.99428569,824.8801512,1.01755102,-1.108163265,1.332244898
"Auca","Harmonia axyridis",2,0.057,0.015,6.5,"Carnivore","Not Univoltine","Above Ground",0,19,3.389608143,10.96073879,264.8033391,1.01755102,-1.108163265,1.332244898
"Auca","Hydaticus bimarginatus",61,0.057,0.015,12.5,"Carnivore","Univoltine","Freshwater",0,20,2.726294637,19.89893623,232.1009176,1.01755102,-1.108163265,1.332244898
"Auca","Hydrophilus ovatus",2,0.057,0.015,32.5,"Carnivore","Not Univoltine","Freshwater",0,21,5.479040487,13.91560081,302.9866971,1.01755102,-1.108163265,1.332244898
"Auca","Lethocerus uhleri",3,0.057,0.015,48.5,"Carnivore","Not Univoltine","Freshwater",0,22,2.778628379,19.03878067,235.222943,1.01755102,-1.108163265,1.332244898
"Auca","Lytta polita",0,0.057,0.015,17.5,"Carnivore","Univoltine","Host Organisms",0,23,2.476064059,18.67874616,147.4156111,1.01755102,-1.108163265,1.332244898
"Auca","Mallodon dasystomus",0,0.057,0.015,35,"Herbivore","Univoltine","Host Organisms",0,24,3.225231248,20.38207789,685.2793058,1.01755102,-1.108163265,1.332244898
"Auca","Megalodacne fasciata",0,0.057,0.015,12.5,"Herbivore","Not Univoltine","Host Organisms",0,25,3.826856013,14.56446452,211.875959,1.01755102,-1.108163265,1.332244898
"Auca","Melanolestes picipes",2,0.057,0.015,11,"Carnivore","Not Univoltine","Below Ground",0,26,3.393582328,15.71629513,280.8249619,1.01755102,-1.108163265,1.332244898
"Auca","Necrophila americana",2,0.057,0.015,16.5,"Detrivore","Not Univoltine","Host Organisms",0,27,3.803828003,9.946387186,185.6005352,1.01755102,-1.108163265,1.332244898
"Auca","Neoconocephalus triops",0,0.057,0.015,32,"Herbivore","Not Univoltine","Above Ground",0,28,3.210431029,20.10061369,417.8157173,1.01755102,-1.108163265,1.332244898
"Auca","Neoscapteriscus borellii",4,0.057,0.015,30,"Omnivore","Not Univoltine","Below Ground",0,29,2.197509832,19.64229657,339.6529995,1.01755102,-1.108163265,1.332244898
"Auca","Odontotaenius disjunctus",0,0.057,0.015,34,"Detrivore","Not Univoltine","Host Organisms",0,30,2.867320956,15.1031041,178.7574571,1.01755102,-1.108163265,1.332244898
"Auca","Pelidnota punctata",0,0.057,0.015,22,"Detrivore","Univoltine","Host Organisms",0,31,4.092217859,12.24612056,199.7355466,1.01755102,-1.108163265,1.332244898
"Auca","Periplaneta americana",0,0.057,0.015,38,"Omnivore","Not Univoltine","Above Ground",0,32,4.550952118,19.29366936,652.3451318,1.01755102,-1.108163265,1.332244898
"Auca","Phileurus truncatus",0,0.057,0.015,35,"Detrivore","Univoltine","Host Organisms",0,33,2.613509282,17.48283238,536.6655037,1.01755102,-1.108163265,1.332244898
"Auca","Phileurus valgus",1,0.057,0.015,23,"Detrivore","Not Univoltine","Host Organisms",0,34,3.799385076,19.61372223,518.4596177,1.01755102,-1.108163265,1.332244898
"Auca","Plecia nearctica",10,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,35,1.590850507,20.60130879,186.9380702,1.01755102,-1.108163265,1.332244898
"Auca","Prionus imbricornis",0,0.057,0.015,37.5,"Herbivore","Univoltine","Host Organisms",0,36,2.460587086,15.54560244,210.7607299,1.01755102,-1.108163265,1.332244898
"Auca","Prionus pocularis",2,0.057,0.015,34.5,"Herbivore","Univoltine","Host Organisms",0,37,4.31687261,16.53668411,208.7352795,1.01755102,-1.108163265,1.332244898
"Auca","Prosapia bicincta",150,0.057,0.015,9,"Herbivore","Not Univoltine","Above Ground",0,38,3.309394617,16.4110585,242.7841883,1.01755102,-1.108163265,1.332244898
"Auca","Rhiginia cruciata",0,0.057,0.015,14,"Carnivore","Not Univoltine","Above Ground",0,39,3.497387502,13.84812292,189.0335705,1.01755102,-1.108163265,1.332244898
"Auca","Stilpnochlora couloniana",4,0.057,0.015,65,"Herbivore","Not Univoltine","Above Ground",0,40,1.189971606,21.47495427,100.2198216,1.01755102,-1.108163265,1.332244898
"Auca","Tabanus atratus",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Freshwater",0,41,5.122225784,14.40390206,244.4569649,1.01755102,-1.108163265,1.332244898
"Auca","Tylozygus bifidus",0,0.057,0.015,3.5,"Herbivore","Not Univoltine","Above Ground",0,42,4.989319897,13.9746743,217.5448146,1.01755102,-1.108163265,1.332244898
"Auca","Tylozygus geometricus",0,0.057,0.015,4,"Herbivore","Univoltine","Above Ground",0,43,4.641709082,17.62587563,815.336067,1.01755102,-1.108163265,1.332244898
"Baca","Acanalonia servillei",5,0.58,0.948,14.5,"Herbivore","Univoltine","Above Ground",13.2569791666667,1,2.814574114,18.9848057,160.2293058,0,0,0
"Baca","Alcaeorrhynchus grandis",0,0.58,0.948,20,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,2,2.774406005,20.48452928,454.3019103,0,0,0
"Baca","Anomala innuba",14,0.58,0.948,7.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,3,4.161788855,17.13737114,313.8013591,0,0,0
"Baca","Blattella asahinai",4,0.58,0.948,14.5,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,4,3.357534769,20.5431857,409.9292686,0,0,0
"Baca","Callistethus marginatus",27,0.58,0.948,13.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,5,3.760432976,18.84381451,329.0840456,0,0,0
"Baca","Calosoma scrutator",0,0.58,0.948,30,"Carnivore","Univoltine","Above Ground",13.2569791666667,6,3.423135963,16.23572511,312.1091903,0,0,0
"Baca","Camponotus castaneus",0,0.58,0.948,8.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,7,2.703514474,14.8671382,168.1424791,0,0,0
"Baca","Camponotus floridanus",3,0.58,0.948,8.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,8,1.527474265,22.15109106,116.3350662,0,0,0
"Baca","Chauliodes rastricornis",0,0.58,0.948,35,"Omnivore","Not Univoltine","Freshwater",13.2569791666667,9,5.553216124,12.11113952,225.027367,0,0,0
"Baca","Climaciella brunnea",0,0.58,0.948,26.5,"Carnivore","Not Univoltine","Host Organisms",13.2569791666667,10,5.805910463,10.98058873,329.4529416,0,0,0
"Baca","Corydalus cornutus",0,0.58,0.948,54,"Omnivore","Univoltine","Freshwater",13.2569791666667,11,3.590081915,12.49320611,209.5000234,0,0,0
"Baca","Cybister fimbriolatus",0,0.58,0.948,29.5,"Carnivore","Univoltine","Freshwater",13.2569791666667,12,4.367067784,17.27847222,303.0526646,0,0,0
"Baca","Dichotomius carolinus",0,0.58,0.948,25,"Detrivore","Univoltine","Above Ground",13.2569791666667,13,3.645123451,16.27639116,382.8505775,0,0,0
"Baca","Dicromantispa interrupta",0,0.58,0.948,22.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,14,4.084355045,18.23094967,290.3583934,0,0,0
"Baca","Draeculacephala inscripta",0,0.58,0.948,7,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,15,3.615212978,18.33695889,230.7082367,0,0,0
"Baca","Erythroneura calyculata",0,0.58,0.948,3,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,16,2.647080251,14.60460152,132.5692445,0,0,0
"Baca","Euphoria sepulcralis",0,0.58,0.948,11.5,"Herbivore","Univoltine","Below Ground",13.2569791666667,17,4.111756347,18.23663889,264.3360603,0,0,0
"Baca","Graminella cognita",0,0.58,0.948,2.5,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,18,2.412539929,23.99428569,824.8801512,0,0,0
"Baca","Harmonia axyridis",1,0.58,0.948,6.5,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,19,3.389608143,10.96073879,264.8033391,0,0,0
"Baca","Hydaticus bimarginatus",57,0.58,0.948,12.5,"Carnivore","Univoltine","Freshwater",13.2569791666667,20,2.726294637,19.89893623,232.1009176,0,0,0
"Baca","Hydrophilus ovatus",0,0.58,0.948,32.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,21,5.479040487,13.91560081,302.9866971,0,0,0
"Baca","Lethocerus uhleri",1,0.58,0.948,48.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,22,2.778628379,19.03878067,235.222943,0,0,0
"Baca","Lytta polita",0,0.58,0.948,17.5,"Carnivore","Univoltine","Host Organisms",13.2569791666667,23,2.476064059,18.67874616,147.4156111,0,0,0
"Baca","Mallodon dasystomus",0,0.58,0.948,35,"Herbivore","Univoltine","Host Organisms",13.2569791666667,24,3.225231248,20.38207789,685.2793058,0,0,0
"Baca","Megalodacne fasciata",0,0.58,0.948,12.5,"Herbivore","Not Univoltine","Host Organisms",13.2569791666667,25,3.826856013,14.56446452,211.875959,0,0,0
"Baca","Melanolestes picipes",0,0.58,0.948,11,"Carnivore","Not Univoltine","Below Ground",13.2569791666667,26,3.393582328,15.71629513,280.8249619,0,0,0
"Baca","Necrophila americana",0,0.58,0.948,16.5,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,27,3.803828003,9.946387186,185.6005352,0,0,0
"Baca","Neoconocephalus triops",0,0.58,0.948,32,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,28,3.210431029,20.10061369,417.8157173,0,0,0
"Baca","Neoscapteriscus borellii",0,0.58,0.948,30,"Omnivore","Not Univoltine","Below Ground",13.2569791666667,29,2.197509832,19.64229657,339.6529995,0,0,0
"Baca","Odontotaenius disjunctus",0,0.58,0.948,34,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,30,2.867320956,15.1031041,178.7574571,0,0,0
"Baca","Pelidnota punctata",2,0.58,0.948,22,"Detrivore","Univoltine","Host Organisms",13.2569791666667,31,4.092217859,12.24612056,199.7355466,0,0,0
"Baca","Periplaneta americana",0,0.58,0.948,38,"Omnivore","Not Univoltine","Above Ground",13.2569791666667,32,4.550952118,19.29366936,652.3451318,0,0,0
"Baca","Phileurus truncatus",0,0.58,0.948,35,"Detrivore","Univoltine","Host Organisms",13.2569791666667,33,2.613509282,17.48283238,536.6655037,0,0,0
"Baca","Phileurus valgus",0,0.58,0.948,23,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,34,3.799385076,19.61372223,518.4596177,0,0,0
"Baca","Plecia nearctica",0,0.58,0.948,7.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,35,1.590850507,20.60130879,186.9380702,0,0,0
"Baca","Prionus imbricornis",0,0.58,0.948,37.5,"Herbivore","Univoltine","Host Organisms",13.2569791666667,36,2.460587086,15.54560244,210.7607299,0,0,0
"Baca","Prionus pocularis",1,0.58,0.948,34.5,"Herbivore","Univoltine","Host Organisms",13.2569791666667,37,4.31687261,16.53668411,208.7352795,0,0,0
"Baca","Prosapia bicincta",1,0.58,0.948,9,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,38,3.309394617,16.4110585,242.7841883,0,0,0
"Baca","Rhiginia cruciata",0,0.58,0.948,14,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,39,3.497387502,13.84812292,189.0335705,0,0,0
"Baca","Stilpnochlora couloniana",0,0.58,0.948,65,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,40,1.189971606,21.47495427,100.2198216,0,0,0
"Baca","Tabanus atratus",0,0.58,0.948,26.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,41,5.122225784,14.40390206,244.4569649,0,0,0
"Baca","Tylozygus bifidus",1,0.58,0.948,3.5,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,42,4.989319897,13.9746743,217.5448146,0,0,0
"Baca","Tylozygus geometricus",0,0.58,0.948,4,"Herbivore","Univoltine","Above Ground",13.2569791666667,43,4.641709082,17.62587563,815.336067,0,0,0
"Biva","Acanalonia servillei",0,0.381,0.235,14.5,"Herbivore","Univoltine","Above Ground",2.25,1,2.814574114,18.9848057,160.2293058,0.474153846,-1.344923077,0.631692308
"Biva","Alcaeorrhynchus grandis",0,0.381,0.235,20,"Carnivore","Not Univoltine","Above Ground",2.25,2,2.774406005,20.48452928,454.3019103,0.474153846,-1.344923077,0.631692308
"Biva","Anomala innuba",1,0.381,0.235,7.5,"Herbivore","Not Univoltine","Below Ground",2.25,3,4.161788855,17.13737114,313.8013591,0.474153846,-1.344923077,0.631692308
"Biva","Blattella asahinai",0,0.381,0.235,14.5,"Herbivore","Not Univoltine","Above Ground",2.25,4,3.357534769,20.5431857,409.9292686,0.474153846,-1.344923077,0.631692308
"Biva","Callistethus marginatus",12,0.381,0.235,13.5,"Herbivore","Not Univoltine","Below Ground",2.25,5,3.760432976,18.84381451,329.0840456,0.474153846,-1.344923077,0.631692308
"Biva","Calosoma scrutator",0,0.381,0.235,30,"Carnivore","Univoltine","Above Ground",2.25,6,3.423135963,16.23572511,312.1091903,0.474153846,-1.344923077,0.631692308
"Biva","Camponotus castaneus",3,0.381,0.235,8.5,"Omnivore","Not Univoltine","Host Organisms",2.25,7,2.703514474,14.8671382,168.1424791,0.474153846,-1.344923077,0.631692308
"Biva","Camponotus floridanus",4,0.381,0.235,8.5,"Omnivore","Not Univoltine","Host Organisms",2.25,8,1.527474265,22.15109106,116.3350662,0.474153846,-1.344923077,0.631692308
"Biva","Chauliodes rastricornis",18,0.381,0.235,35,"Omnivore","Not Univoltine","Freshwater",2.25,9,5.553216124,12.11113952,225.027367,0.474153846,-1.344923077,0.631692308
"Biva","Climaciella brunnea",0,0.381,0.235,26.5,"Carnivore","Not Univoltine","Host Organisms",2.25,10,5.805910463,10.98058873,329.4529416,0.474153846,-1.344923077,0.631692308
"Biva","Corydalus cornutus",1,0.381,0.235,54,"Omnivore","Univoltine","Freshwater",2.25,11,3.590081915,12.49320611,209.5000234,0.474153846,-1.344923077,0.631692308
"Biva","Cybister fimbriolatus",1,0.381,0.235,29.5,"Carnivore","Univoltine","Freshwater",2.25,12,4.367067784,17.27847222,303.0526646,0.474153846,-1.344923077,0.631692308
"Biva","Dichotomius carolinus",0,0.381,0.235,25,"Detrivore","Univoltine","Above Ground",2.25,13,3.645123451,16.27639116,382.8505775,0.474153846,-1.344923077,0.631692308
"Biva","Dicromantispa interrupta",0,0.381,0.235,22.5,"Omnivore","Not Univoltine","Host Organisms",2.25,14,4.084355045,18.23094967,290.3583934,0.474153846,-1.344923077,0.631692308
"Biva","Draeculacephala inscripta",2,0.381,0.235,7,"Herbivore","Not Univoltine","Above Ground",2.25,15,3.615212978,18.33695889,230.7082367,0.474153846,-1.344923077,0.631692308
"Biva","Erythroneura calyculata",0,0.381,0.235,3,"Herbivore","Not Univoltine","Above Ground",2.25,16,2.647080251,14.60460152,132.5692445,0.474153846,-1.344923077,0.631692308
"Biva","Euphoria sepulcralis",0,0.381,0.235,11.5,"Herbivore","Univoltine","Below Ground",2.25,17,4.111756347,18.23663889,264.3360603,0.474153846,-1.344923077,0.631692308
"Biva","Graminella cognita",0,0.381,0.235,2.5,"Herbivore","Not Univoltine","Above Ground",2.25,18,2.412539929,23.99428569,824.8801512,0.474153846,-1.344923077,0.631692308
"Biva","Harmonia axyridis",0,0.381,0.235,6.5,"Carnivore","Not Univoltine","Above Ground",2.25,19,3.389608143,10.96073879,264.8033391,0.474153846,-1.344923077,0.631692308
"Biva","Hydaticus bimarginatus",77,0.381,0.235,12.5,"Carnivore","Univoltine","Freshwater",2.25,20,2.726294637,19.89893623,232.1009176,0.474153846,-1.344923077,0.631692308
"Biva","Hydrophilus ovatus",2,0.381,0.235,32.5,"Carnivore","Not Univoltine","Freshwater",2.25,21,5.479040487,13.91560081,302.9866971,0.474153846,-1.344923077,0.631692308
"Biva","Lethocerus uhleri",3,0.381,0.235,48.5,"Carnivore","Not Univoltine","Freshwater",2.25,22,2.778628379,19.03878067,235.222943,0.474153846,-1.344923077,0.631692308
"Biva","Lytta polita",1,0.381,0.235,17.5,"Carnivore","Univoltine","Host Organisms",2.25,23,2.476064059,18.67874616,147.4156111,0.474153846,-1.344923077,0.631692308
"Biva","Mallodon dasystomus",0,0.381,0.235,35,"Herbivore","Univoltine","Host Organisms",2.25,24,3.225231248,20.38207789,685.2793058,0.474153846,-1.344923077,0.631692308
"Biva","Megalodacne fasciata",2,0.381,0.235,12.5,"Herbivore","Not Univoltine","Host Organisms",2.25,25,3.826856013,14.56446452,211.875959,0.474153846,-1.344923077,0.631692308
"Biva","Melanolestes picipes",0,0.381,0.235,11,"Carnivore","Not Univoltine","Below Ground",2.25,26,3.393582328,15.71629513,280.8249619,0.474153846,-1.344923077,0.631692308
"Biva","Necrophila americana",0,0.381,0.235,16.5,"Detrivore","Not Univoltine","Host Organisms",2.25,27,3.803828003,9.946387186,185.6005352,0.474153846,-1.344923077,0.631692308
"Biva","Neoconocephalus triops",0,0.381,0.235,32,"Herbivore","Not Univoltine","Above Ground",2.25,28,3.210431029,20.10061369,417.8157173,0.474153846,-1.344923077,0.631692308
"Biva","Neoscapteriscus borellii",0,0.381,0.235,30,"Omnivore","Not Univoltine","Below Ground",2.25,29,2.197509832,19.64229657,339.6529995,0.474153846,-1.344923077,0.631692308
"Biva","Odontotaenius disjunctus",0,0.381,0.235,34,"Detrivore","Not Univoltine","Host Organisms",2.25,30,2.867320956,15.1031041,178.7574571,0.474153846,-1.344923077,0.631692308
"Biva","Pelidnota punctata",1,0.381,0.235,22,"Detrivore","Univoltine","Host Organisms",2.25,31,4.092217859,12.24612056,199.7355466,0.474153846,-1.344923077,0.631692308
"Biva","Periplaneta americana",1,0.381,0.235,38,"Omnivore","Not Univoltine","Above Ground",2.25,32,4.550952118,19.29366936,652.3451318,0.474153846,-1.344923077,0.631692308
"Biva","Phileurus truncatus",0,0.381,0.235,35,"Detrivore","Univoltine","Host Organisms",2.25,33,2.613509282,17.48283238,536.6655037,0.474153846,-1.344923077,0.631692308
"Biva","Phileurus valgus",1,0.381,0.235,23,"Detrivore","Not Univoltine","Host Organisms",2.25,34,3.799385076,19.61372223,518.4596177,0.474153846,-1.344923077,0.631692308
"Biva","Plecia nearctica",19,0.381,0.235,7.5,"Herbivore","Not Univoltine","Below Ground",2.25,35,1.590850507,20.60130879,186.9380702,0.474153846,-1.344923077,0.631692308
"Biva","Prionus imbricornis",0,0.381,0.235,37.5,"Herbivore","Univoltine","Host Organisms",2.25,36,2.460587086,15.54560244,210.7607299,0.474153846,-1.344923077,0.631692308
"Biva","Prionus pocularis",1,0.381,0.235,34.5,"Herbivore","Univoltine","Host Organisms",2.25,37,4.31687261,16.53668411,208.7352795,0.474153846,-1.344923077,0.631692308
"Biva","Prosapia bicincta",27,0.381,0.235,9,"Herbivore","Not Univoltine","Above Ground",2.25,38,3.309394617,16.4110585,242.7841883,0.474153846,-1.344923077,0.631692308
"Biva","Rhiginia cruciata",0,0.381,0.235,14,"Carnivore","Not Univoltine","Above Ground",2.25,39,3.497387502,13.84812292,189.0335705,0.474153846,-1.344923077,0.631692308
"Biva","Stilpnochlora couloniana",0,0.381,0.235,65,"Herbivore","Not Univoltine","Above Ground",2.25,40,1.189971606,21.47495427,100.2198216,0.474153846,-1.344923077,0.631692308
"Biva","Tabanus atratus",0,0.381,0.235,26.5,"Carnivore","Not Univoltine","Freshwater",2.25,41,5.122225784,14.40390206,244.4569649,0.474153846,-1.344923077,0.631692308
"Biva","Tylozygus bifidus",0,0.381,0.235,3.5,"Herbivore","Not Univoltine","Above Ground",2.25,42,4.989319897,13.9746743,217.5448146,0.474153846,-1.344923077,0.631692308
"Biva","Tylozygus geometricus",0,0.381,0.235,4,"Herbivore","Univoltine","Above Ground",2.25,43,4.641709082,17.62587563,815.336067,0.474153846,-1.344923077,0.631692308
"Bowa","Acanalonia servillei",1,0.278,0.132,14.5,"Herbivore","Univoltine","Above Ground",0.011,1,2.814574114,18.9848057,160.2293058,0.098666667,2.606666667,0.665333333
